Model,Crema-D,DementiaBank,Savee,Voxforge,Speech_commands,mask_challenge,ESC-50_HS,Voxceleb,Crema-D_N,DementiaBank_N,Savee_N,Voxforge_N,Speech_commands_N,mask_challenge_N,ESC-50_HS_N,Voxceleb_N,ModelPath,PerfLab_SessionID,MV3Size,Avg_Pool,Alpha,Compression,Quantized-Aware_Trained,Size(MB),Pixel4 CPU Latency(ms),Pixel4 GPU Latency(ms),Pixel1 CPU Latency(ms),Pixel1 GPU Latency(ms),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 1,0.6915,0.6765,0.6667,0.7746,0.774,0.6115,0.7879,0.3648,0.539784976,-0.003685842,0.561642543,0.55493678,1.20536852,0.084849598,0.559006905,0.694130353,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_1.tflite,32208,tiny,FALSE,0.5,FALSE,FALSE,25.31539154,3.188952229,4.368497817,3.103630435,30.1152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 2,0.669,0.6765,0.6,0.7566,0.7188,0.6119,0.803,0.3852,0.448651508,-0.003685842,0.291482441,0.482030006,0.981787746,0.086469749,0.620167588,0.776758031,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_2.tflite,3362,tiny,FALSE,1.5,FALSE,TRUE,11.21496582,2.67313369,6.363458599,5.927372781,36.81816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 3,0.4145,0.6765,0.4,0.5305,0.2252,0.5449,0.5,0.0007,-0.582169272,-0.003685842,-0.518592829,-0.433760086,-1.017478018,-0.184905466,-0.607096445,-0.780611674,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_3.tflite,3348,small,FALSE,0.75,TRUE,TRUE,1.993560791,0.771724458,4.539336364,3.595089928,11.01264835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 4,0.6035,0.6863,0.525,0.653,0.5476,0.6078,0.7576,0.2651,0.183351858,0.036007846,-0.012295785,0.062411016,0.288363315,0.069863206,0.436280502,0.290307831,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_4.tflite,3238,small,FALSE,1,TRUE,FALSE,8.985748291,2.680530831,5.94927381,2.501568922,11.78236471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 5,0.4203,0.6765,0.4167,0.5285,0.201,0.5449,0.3788,0.0007,-0.558677089,-0.003685842,-0.450951544,-0.441860839,-1.115497126,-0.184905466,-1.098002058,-0.780611674,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_5.tflite,3358,small,FALSE,1,TRUE,TRUE,2.507644653,1.585869841,6.050915663,3.097608696,16.24906452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 6,0.4492,0.6667,0.425,0.5295,0.1409,0.5281,0.2727,0.0025,-0.441621212,-0.043379531,-0.41733342,-0.437810462,-1.358924744,-0.252951789,-1.527746988,-0.773320997,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_6.tflite,32191,small,FALSE,1.25,TRUE,FALSE,12.79331207,1.661432612,6.363550633,3.621083333,15.90834921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 7,0.419,0.6765,0.4,0.5285,0.1922,0.5449,0.3636,0.0007,-0.563942578,-0.003685842,-0.518592829,-0.441860839,-1.151140438,-0.184905466,-1.159567778,-0.780611674,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_7.tflite,3363,small,FALSE,1.25,TRUE,TRUE,3.510513306,2.115222458,6.407269231,4.35871179,14.50868116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 8,0.3573,0.6471,0.3167,0.5285,0.0963,0.5449,0.1212,0.0007,-0.813850798,-0.122766907,-0.855989178,-0.441860839,-1.539571529,-0.184905466,-2.141379005,-0.780611674,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_8.tflite,3349,small,FALSE,1.5,TRUE,FALSE,17.30553055,2.208960177,8.475559322,4.791736842,12.99211538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 9,0.4158,0.6765,0.375,0.5304,0.2241,0.5449,0.5,0.0007,-0.576903782,-0.003685842,-0.619852237,-0.434165124,-1.021933432,-0.184905466,-0.607096445,-0.780611674,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_9.tflite,3359,small,FALSE,1.5,TRUE,TRUE,4.690826416,2.71863587,7.54006015,5.530640884,23.43722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 10,0.3059,0.6373,0.325,0.5285,0.0908,0.5449,0.1212,0.0007,-1.022040143,-0.162460595,-0.822371054,-0.441860839,-1.561848599,-0.184905466,-2.141379005,-0.780611674,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_10.tflite,3364,small,FALSE,2,TRUE,FALSE,28.02047348,3.296957096,11.29621348,7.633274809,22.51074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
